rank,name,panel,bucket,in_collectible_base,net_worth_usd,net_worth_usd_7pct,trre_usd,wealth_in_tax_base_usd,wealth_in_tax_base_usd_7pct,face_tax_5pct,source_of_wealth,forbes_asset_class,public_wealth,private_other_wealth,other_real_estate,base_treatment,removal_reason
1,Larry Page,domestic,removed_departed,False,256200000000.0,274134000000.0,101500000.0,256098500000.0,274025395000.0,13701269750.0,Google/Alphabet (GOOGL),PUBLIC,,,101500000.0,moving_pre_snapshot,Confirmed departure between the Oct 2025 filing and the Jan 1 2026 residency snapshot (Section 4.3)
2,Sergey Brin,domestic,removed_departed,False,236400000000.0,252948000000.0,35000000.0,236365000000.0,252910550000.0,12645527500.0,Google/Alphabet (GOOGL),PUBLIC,,,35000000.0,moving_pre_snapshot,Confirmed departure between the Oct 2025 filing and the Jan 1 2026 residency snapshot (Section 4.3)
3,Mark Zuckerberg,domestic,zuckerberg,False,225100000000.0,240857000000.0,300000000.0,224800000000.0,240536000000.0,12026800000.0,Meta Platforms (META),PUBLIC,,,300000000.0,in_base,Departed Feb 2026 after the residency snapshot; excluded from the central estimate (Section 4.4)
4,Jensen Huang,domestic,stayer_base,True,162600000000.0,173982000000.0,52400000.0,162547600000.0,173925932000.0,8696296600.0,Nvidia (NVDA),PUBLIC,,,52400000.0,in_base,
5,Eric Schmidt,domestic,stayer_base,True,35600000000.0,38092000000.0,600000000.0,35000000000.0,37450000000.0,1872500000.0,Google/Alphabet (GOOGL),PUBLIC,,,600000000.0,in_base,
6,Henry Samueli,domestic,stayer_base,True,32000000000.0,34240000000.0,20150000.0,31979850000.0,34218439500.0,1710921975.0,Broadcom (AVGO),PUBLIC,,,20150000.0,in_base,
7,Peter Thiel,domestic,removed_departed,False,26700000000.0,28569000000.0,77200000.0,26622800000.0,28486396000.0,1424319800.0,Palantir (PLTR) + Founders Fund VC,PUBLIC,,,77200000.0,moving_pre_snapshot,Confirmed departure between the Oct 2025 filing and the Jan 1 2026 residency snapshot (Section 4.3)
8,Robert Pera,domestic,stayer_base,True,25500000000.0,27285000000.0,21550000.0,25478450000.0,27261941500.0,1363097075.0,Ubiquiti (UI),PUBLIC,,,21550000.0,in_base,
9,Adam Foroughi,domestic,stayer_base,True,25000000000.0,26750000000.0,159008929.0,24840991071.0,26579860445.97,1328993022.2985,AppLovin (APP),PUBLIC,,,159008929.0,in_base,
10,Henry Nicholas III,domestic,stayer_base,True,21900000000.0,23433000000.0,19777777.0,21880222223.0,23411837778.61,1170591888.9305,"Broadcom cofounder, now diversified",OTHER,,,19777777.0,in_base,
11,John Doerr,domestic,stayer_base,True,20000000000.0,21400000000.0,127207143.0,19872792857.0,21263888356.99,1063194417.8495002,Kleiner Perkins (VC),VCPE,,,127207143.0,in_base,
12,Donald Bren,domestic,stayer_base,True,19200000000.0,20544000000.0,122118857.0,19077881143.0,20413332823.01,1020666641.1504999,Irvine Company (private RE company),VCPE,,,122118857.0,in_base,
13,Eric Smidt,domestic,stayer_base,True,17900000000.0,19153000000.0,54000000.0,17846000000.0,19095220000.0,954761000.0,Harbor Freight Tools (private),VCPE,,,54000000.0,in_base,
14,John Tu,domestic,stayer_base,True,17500000000.0,18725000000.0,7250000.0,17492750000.0,18717242500.0,935862125.0,Kingston Technology (private),VCPE,,,7250000.0,in_base,
15,David Sun,domestic,stayer_base,True,17500000000.0,18725000000.0,111306250.0,17388693750.0,18605902312.5,930295115.625,Kingston Technology (private),VCPE,,,111306250.0,in_base,
16,Jan Koum,domestic,stayer_base,True,17100000000.0,18297000000.0,400000000.0,16700000000.0,17869000000.0,893450000.0,"WhatsApp exit proceeds, diversified",OTHER,,,400000000.0,in_base,
